SampleA	SampleB	Spearman
Day21_2	Day03_4	0.701
Day21_3	Day03_4	0.695
Day21_4	Day03_4	0.695
Day21_5	Day03_4	0.699
Day21_6	Day03_4	0.702
Day28_1	Day03_4	0.675
Day28_2	Day03_4	0.674
Day28_3	Day03_4	0.677
Day28_4	Day03_4	0.668
Day28_5	Day03_4	0.661
Day28_6	Day03_4	0.667
Day0_1	Day03_5	0.88
Day0_2	Day03_5	0.874
Day0_3	Day03_5	0.874
Day0_4	Day03_5	0.886
Day0_5	Day03_5	0.879
Day0_6	Day03_5	0.872
Day03_1	Day03_5	0.969
Day03_2	Day03_5	0.966
Day03_3	Day03_5	0.962
Day03_4	Day03_5	0.974
Day03_5	Day03_5	1
Day03_6	Day03_5	0.956
Day07_1	Day03_5	0.826
Day07_2	Day03_5	0.841
Day07_3	Day03_5	0.845
Day07_4	Day03_5	0.853
Day07_5	Day03_5	0.855
Day07_6	Day03_5	0.842
Day10_1	Day03_5	0.789
Day10_2	Day03_5	0.782
Day10_3	Day03_5	0.779
Day10_4	Day03_5	0.794
Day10_5	Day03_5	0.777
Day10_6	Day03_5	0.785
Day14_1	Day03_5	0.73
Day14_2	Day03_5	0.728
Day14_3	Day03_5	0.733
Day14_4	Day03_5	0.737
Day14_5	Day03_5	0.731
Day14_6	Day03_5	0.727
Day21_1	Day03_5	0.705
Day21_2	Day03_5	0.698
Day21_3	Day03_5	0.695
Day21_4	Day03_5	0.695
Day21_5	Day03_5	0.7
Day21_6	Day03_5	0.702
Day28_1	Day03_5	0.673
Day28_2	Day03_5	0.672
Day28_3	Day03_5	0.663
Day28_4	Day03_5	0.664
Day28_5	Day03_5	0.659
Day28_6	Day03_5	0.665
Day0_1	Day03_6	0.856
Day0_2	Day03_6	0.869
Day0_3	Day03_6	0.873
Day0_4	Day03_6	0.87
Day0_5	Day03_6	0.875
Day0_6	Day03_6	0.869
Day03_1	Day03_6	0.969
Day03_2	Day03_6	0.964
Day03_3	Day03_6	0.983
Day03_4	Day03_6	0.969
Day03_5	Day03_6	0.956
Day03_6	Day03_6	1
Day07_1	Day03_6	0.844
Day07_2	Day03_6	0.85
Day07_3	Day03_6	0.875
Day07_4	Day03_6	0.867
Day07_5	Day03_6	0.861
Day07_6	Day03_6	0.85
Day10_1	Day03_6	0.793
Day10_2	Day03_6	0.794
Day10_3	Day03_6	0.776
Day10_4	Day03_6	0.8
Day10_5	Day03_6	0.769
Day10_6	Day03_6	0.786
Day14_1	Day03_6	0.732
Day14_2	Day03_6	0.728
Day14_3	Day03_6	0.737
Day14_4	Day03_6	0.745
Day14_5	Day03_6	0.739
Day14_6	Day03_6	0.736
Day21_1	Day03_6	0.713
Day21_2	Day03_6	0.703
Day21_3	Day03_6	0.707
Day21_4	Day03_6	0.701
Day21_5	Day03_6	0.703
Day21_6	Day03_6	0.706
Day28_1	Day03_6	0.674
Day28_2	Day03_6	0.673
Day28_3	Day03_6	0.672
Day28_4	Day03_6	0.668
Day28_5	Day03_6	0.66
Day28_6	Day03_6	0.667
Day0_1	Day07_1	0.699
Day0_2	Day07_1	0.715
Day0_3	Day07_1	0.713
Day0_4	Day07_1	0.701
Day0_5	Day07_1	0.708
Day0_6	Day07_1	0.71
Day03_1	Day07_1	0.843
Day03_2	Day07_1	0.844
Day03_3	Day07_1	0.843
Day03_4	Day07_1	0.839
Day03_5	Day07_1	0.826
Day03_6	Day07_1	0.844
Day07_1	Day07_1	1
Day07_2	Day07_1	0.962
Day07_3	Day07_1	0.96
Day07_4	Day07_1	0.964
Day07_5	Day07_1	0.962
Day07_6	Day07_1	0.972
Day10_1	Day07_1	0.927
Day10_2	Day07_1	0.926
Day10_3	Day07_1	0.927
Day10_4	Day07_1	0.928
Day10_5	Day07_1	0.904
Day10_6	Day07_1	0.921
Day14_1	Day07_1	0.884
Day14_2	Day07_1	0.883
Day14_3	Day07_1	0.892
Day14_4	Day07_1	0.897
Day14_5	Day07_1	0.89
Day14_6	Day07_1	0.893
Day21_1	Day07_1	0.873
Day21_2	Day07_1	0.87
Day21_3	Day07_1	0.867
Day21_4	Day07_1	0.867
Day21_5	Day07_1	0.864
Day21_6	Day07_1	0.868
Day28_1	Day07_1	0.84
Day28_2	Day07_1	0.838
Day28_3	Day07_1	0.843
