cohort,Group Name,age,Subject or Animal ID,sex,strain,Location,Preparation batch,MS sample label,MS Run Label,,sample
C10,SLAM,21,2068,M,HET3,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 4,120,SLAM_120_2068p.raw,,SLAM_120
C7,SLAM,24,1287,F,HET3,URL:SLAM 3-Shelf 3-Rack 17Box 422,Batch 4,121,SLAM_121_1287.raw,,SLAM_121
C8,SLAM,24,1670,M,B6,URL:SLAM 3-Shelf 3-Rack 13 Box 322,Batch 4,122,SLAM_122_1670.raw,,SLAM_122
C7,SLAM,24,1348,M,HET3,URL:SLAM 3-Shelf 3-Rack 17Box 422,Batch 4,123,SLAM_123_1348.raw,,SLAM_123
C10,SLAM,25,2127,F,HET3,URL:SLAM 3-Shelf 1-Rack 5  Box 102,Batch 4,124,SLAM_124_2127.raw,,SLAM_124
C10,SLAM,25,2063,M,HET3,URL:SLAM 3-Shelf 1-Rack 5  Box 102,Batch 4,125,SLAM_125_2063.raw,,SLAM_125
C7,SLAM,30,1425,F,B6,URL:SLAM 3-Shelf 3-Rack 18 Box 434,Batch 4,126,SLAM_126_1425.raw,,SLAM_126
C7,SLAM,30,1298,F,HET3,URL:SLAM 3-Shelf 3-Rack 18 Box 434,Batch 4,127,SLAM_127_1298.raw,,SLAM_127
C9,SLAM,30,1893,M,B6,URL:SLAM 3-Shelf 2-Rack 9 Box 221,Batch 4,128,SLAM_128_1893.raw,,SLAM_128
C9,SLAM,30,1925,M,B6,URL:SLAM 3-Shelf 2-Rack 9 Box 221,Batch 4,129,SLAM_129_1925.raw,,SLAM_129
C9,SLAM,30,1832,M,HET3,URL:SLAM 3-Shelf 2-Rack 9 Box 221,Batch 4,130,SLAM_130_1832.raw,,SLAM_130
C5,SLAM,33,945,F,B6,URL:SLAM 4-Shelf 1-Rack 2  Box 645,Batch 4,131,SLAM_131_945.raw,,SLAM_131
C8,SLAM,33,1616,M,HET3,URL:SLAM 3-Shelf 3-Rack 14 Box 333,Batch 4,132,SLAM_132_1616.raw,,SLAM_132
C6,SLAM,34,1160,F,B6,URL:SLAM 3-Shelf 4-Rack 23 Box 553,Batch 4,133,SLAM_133_1160.raw,,SLAM_133
C6,SLAM,34,1068,F,HET3,URL:SLAM 3-Shelf 4-Rack 23 Box 553,Batch 4,134,SLAM_134_1068.raw,,SLAM_134
C6,SLAM,34,1126,M,HET3,URL:SLAM 3-Shelf 4-Rack 23 Box 553,Batch 4,135,SLAM_135_1126.raw,,SLAM_135
