PG.ProteinGroups,PG.Genes,[1] Control_1.raw.PG.Quantity,[2] Control_2.raw.PG.Quantity,[3] Control_3.raw.PG.Quantity,[4] Control_4.raw.PG.Quantity,[5] Control_5.raw.PG.Quantity,[6] Control_6.raw.PG.Quantity,[7] UNC13A_CE_1.raw.PG.Quantity,[8] UNC13A_CE_2.raw.PG.Quantity,[9] UNC13A_CE_3.raw.PG.Quantity,[10] UNC13A_CE_4.raw.PG.Quantity,[11] UNC13A_CE_5.raw.PG.Quantity,[12] UNC13A_CE_6.raw.PG.Quantity,[13] UNC13A_WT_1.raw.PG.Quantity,[14] UNC13A_WT_2.raw.PG.Quantity,[15] UNC13A_WT_3.raw.PG.Quantity,[16] UNC13A_WT_4.raw.PG.Quantity,[17] UNC13A_WT_5.raw.PG.Quantity,[18] UNC13A_WT_6.raw.PG.Quantity
A0A1B0GUS4;P68036,UBE2L5;UBE2L3,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,NaN,NaN,Filtered,Filtered,NaN,0.5816116333007812,NaN,NaN,NaN,NaN,NaN
Q03518,TAP1,Filtered,Filtered,2157.757080078125,Filtered,1833.03955078125,1718.6644287109375,6571.99462890625,13274.7294921875,6218.5263671875,15316.095703125,7796.05078125,21108.919921875,6784.91064453125,4271.00634765625,8182.30126953125,4256.7802734375,16030.8046875,23557.73046875
Q03519,TAP2,Filtered,362.6819152832031,435.1294250488281,302.2969970703125,1574.8856201171875,972.4113159179688,3412.370361328125,3458.016357421875,4511.27783203125,3378.2177734375,2981.201416015625,3052.23095703125,3378.2685546875,4161.68505859375,2302.358642578125,2901.89306640625,2732.791748046875,4102.46142578125
Q03701,CEBPZ,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1931.5760498046875,1255.2886962890625,9430.2314453125,2751.07373046875,3857.84814453125,3797.59228515625,3255.04443359375,2666.375244140625,3593.3720703125,2921.42041015625,1244.9368896484375,2338.707275390625
Q04637,EIF4G1,4975.390625,4611.31494140625,5605.267578125,5090.3046875,9448.291015625,8534.111328125,274579.21875,290241.71875,342388.0625,282650.5,301897.875,273463.15625,261880.671875,290061.5,318073,305528.96875,290844.8125,319115.625
Q04695,KRT17,493526.28125,425647.6875,468938.5625,424263.71875,737921.5625,582050.3125,1110230.75,1147630.25,1500695.125,1170007,1148583.5,1384023.5,945192,1106626.75,1325710.875,1064244.625,1178192.625,1246577.25
Q04837,SSBP1,3881.52685546875,3821.401123046875,5191.91845703125,5845.69873046875,13001.896484375,7804.19921875,70965.6953125,56421.2890625,95782.5390625,58194.734375,52156.07421875,51049.9140625,31741.20703125,53202.39453125,40588.9765625,38629.1796875,39974.51171875,48097.39453125
Q04917,YWHAH,Filtered,Filtered,Filtered,NaN,10.907132148742676,Filtered,Filtered,0.6069145202636719,NaN,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,NaN
Q04941,PLP2,2223.60986328125,1522.443359375,3289.668701171875,557.8108520507812,10318.9443359375,1870.339111328125,4076.9580078125,3976.087158203125,4291.82666015625,4110.1513671875,2863.06005859375,1595.1248779296875,2858.954833984375,4098.935546875,5646.921875,3697.45361328125,5309.56396484375,3975.976318359375
Q05048,CSTF1,Filtered,Filtered,Filtered,1880.9505615234375,478.06439208984375,Filtered,5730.912109375,6287.21484375,9692.6376953125,6607.716796875,6888.5205078125,5689.70458984375,4409.34521484375,6631.6220703125,6794.69091796875,6427.91943359375,5856.9501953125,6844.50146484375
Q05397,PTK2,Filtered,Filtered,Filtered,Filtered,3610.374267578125,Filtered,4165.8466796875,4691.669921875,5742.69091796875,3547.98583984375,3667.541259765625,2958.07666015625,2874.468017578125,3541.521484375,2801.501953125,2876.34765625,3408.620361328125,4170.068359375
Q05519,SRSF11,5973.43310546875,6086.40234375,7180.8681640625,8629.064453125,26127.39453125,16856.697265625,99114.21875,107491.8984375,135796.28125,107444.3828125,105264.0234375,101146.5625,94130.5390625,98333,110412.3125,105172.25,109855.4453125,121354.3125
Q05639,EEF1A2,1153.5218505859375,465.7291564941406,2821.75537109375,409.07318115234375,3347.9755859375,1643.977294921875,22379.787109375,20504.5703125,28121.67578125,23667.0546875,16308.294921875,17225.09765625,15151.826171875,20890.658203125,28702.935546875,15015.9404296875,22142.994140625,22789.814453125
Q05682,CALD1,748.665283203125,690.4691772460938,1697.095458984375,933.992919921875,4452.291015625,1322.883056640625,8521.3369140625,7203.6572265625,11562.123046875,7335.10498046875,8735.51953125,7148.4599609375,7679.2568359375,10352.279296875,8612.8359375,9708.466796875,8791.6982421875,8465.7919921875
