Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q5TBB1	RNASEH2B	0.00373014195926634	16588.2171223958	4071.73547363281	2.02608881717249	0.00461708682513634
P62873	GNB1	0.00373582722405289	3837.70760091146	2367.07834879557	0.696527981342157	0.00462206966636486
Q96BK5	PINX1	0.00382506870599601	5456.84307861328	64.9358679453532	6.3708592674363	0.00473038026030146
Q9UHV9	PFDN2	0.00389354279672581	6163.82246907552	1985.57318115234	1.63354336959177	0.00481292351925494
Q93096	PTP4A1	0.00405251365652837	5750.37455240886	386.108581542969	3.89284573429319	0.00500720964216128
Q9BRX9	WDR83	0.00408431030939165	1812.59143066406	289.953374226888	2.63919388689364	0.00504425907390499
Q27J81	INF2	0.00412929656578018	799.777989705404	197.024398803711	2.01392138070014	0.00509755803887313
P62495	ETF1	0.00423050718235179	6323.18986002604	1219.68978881836	2.37295592048694	0.00522018719665473
P07237	P4HB	0.00425707112245591	9242.36181640625	3625.22235107422	1.34979417835633	0.00525063909479172
Q9Y3Z3	SAMHD1	0.00432073893745503	2662.01259358724	572.092030843099	2.21567865639714	0.00532680741071813
Q6Y1H2	HACD2	0.00440002023968196	22751.9339192708	4749.47583007813	2.259845246974	0.0054221488351833
Q99081	TCF12	0.0044373111673608	1829.6565246582	477.045026143392	1.93635442718451	0.00546568403409988
Q02790	FKBP4	0.00444903026003136	4983.99816894531	1454.8554280599	1.77543644074948	0.00547769640768671
O43237	DYNC1LI2	0.00456494076390308	3040.84438069662	78.4775492350261	5.25778078975725	0.00561792312305351
Q9BSR8	YIPF4	0.00456699619609434	4074.41389973958	1243.22035725911	1.7113505279137	0.00561797014404715
Q9H6F5	CCDC86	0.00462495964462169	14090.8191731771	5411.24298095703	1.38045697028638	0.00568676053433616
Q13423	NNT	0.0046510074299592	6759.72029622396	1192.31730143229	2.50198584721839	0.00571626464803017
Q8N0U8	VKORC1L1	0.00471188944758922	7869.91153971354	654.137074788412	3.58647872003842	0.00578853644090691
P05114	HMGN1	0.00474330346845515	11551.7134602865	2207.79922485352	2.38677266994019	0.00582455915328378
Q9NZM1	MYOF	0.00486559586192096	3288.80733235677	1220.99877929688	1.42832164949751	0.00597209540566323
Q9BUB7	TMEM70	0.00499281555698394	2480.01658121745	219.194951375326	3.49349647008646	0.00612554683973581
P50548	ERF	0.00502477978855645	15205.1500651042	8500.75284830729	0.838727830335226	0.00616204830961238
P35241	RDX	0.00503048822858324	21714.0896809896	5670.75775146484	1.93676365248012	0.00616633350202655
Q15165	PON2	0.00510151884193788	3455.43404134115	678.743245442708	2.34580512522118	0.00625065111077738
P46087	NOP2	0.00512812927595593	5362.96801757813	2771.81994628906	0.951677712098489	0.0062804925389346
P36776	LONP1	0.00514977883685932	11924.0585530599	361.136108398438	5.04119952024414	0.00630423475193548
Q9UHA2	SS18L2	0.00520804277301295	6789.35900878906	2046.63385009766	1.72931761309978	0.00637275884131857
Q15323	KRT31	0.00524811682630478	5426.99462890625	598.920125325521	3.17731114579224	0.00641897468654318
Q5SWX8	ODR4	0.00525201641648703	2313.07303873698	61.5593770345052	5.20844086534181	0.00642092437221966
P04150	NR3C1	0.00530586845500647	1613.75016276042	161.311424255371	3.31358078868202	0.00648391559771523
P07477	PRSS1	0.00532847850134527	721041.328125	372289.447916667	0.953653352629476	0.00650868974835377
Q8WUK0	PTPMT1	0.00538206786604347	7673.77628580729	4274.76086425781	0.843755538620955	0.00657126655279749
P51858	HDGF	0.00566067565519106	6158.25358072917	1894.17591349284	1.70018950695281	0.00690840565280767
Q02543	RPL18A	0.00567893008477973	28202.6637369792	15137.3658854167	0.89762194970858	0.00692764795712289
O60488	ACSL4	0.00569935156695355	5876.21997070313	2205.03572591146	1.41343224780391	0.00694951581171876
P48960	ADGRE5	0.00570655820575351	2523.67427571615	71.404535929362	5.12330182639093	0.00695525803195778
Q8N1F7	NUP93	0.00575245951435593	3170.67122395833	1548.83114624023	1.03267724523209	0.0070081363724765
Q9UDY4	DNAJB4	0.00575893169081677	2569.06951904297	5623.67761230469	-1.13052447814123	0.00701295354566012
P27708	CAD	0.00586851420593011	1548.84268188477	292.817464192708	2.39819855922755	0.00714327450328468
Q8IXK0	PHC2	0.00591649581223981	4467.08361816406	1381.03735860189	1.69253664579729	0.00719853247579199
P11233	RALA	0.00599037965363486	2563.59602864583	1105.96017456055	1.21156562126381	0.00728524337789217
O96008	TOMM40	0.00621233824229509	1630.31627400716	190.734558105469	3.08796957201934	0.00754664501322348
Q03518	TAP1	0.00621219015109406	11714.3861490885	951.576843261719	3.62030206880834	0.00754664501322348
Q9H4G4	GLIPR2	0.00621344955666838	18524.9538574219	7426.45686848958	1.31852972160683	0.00754664501322348
P29590	PML	0.00624427074644114	4055.19596354167	2626.28487141927	0.626198995424984	0.00758077333428011
P19784	CSNK2A2	0.00633692736331644	642.324768066406	74.7064361572266	3.08481506711887	0.00768990967618139
Q14435	GALNT3	0.00638488329629996	5784.51700846354	1544.88642883301	1.90376217010563	0.00774472995653109
Q9P0M9	MRPL27	0.00639363184026456	1735.24430338542	115.772481282552	3.89336656030069	0.00775196546588454
Q9UMY1	NOL7	0.00653016568922195	2188.07619222005	44.2762451171875	5.59476484918148	0.00791406068080205
Q01518	CAP1	0.00656098110281127	12978.9942932129	842.337440490723	3.94392478174214	0.00794794796491057
Q13509	TUBB3	0.00659719806247525	9547.66422526042	4552.43839518229	1.06819146464076	0.00798834634956242
O00505	KPNA3	0.00667219824865754	3551.22325134277	76.363271077474	5.52052345330455	0.00807565063994405
Q69YL0	NCBP2AS2	0.0067673563938212	2953.11551920573	296.515869140625	3.311199265332	0.00818726653205562
Q00587	CDC42EP1	0.00685511241211258	4059.02681477865	2611.01383463542	0.635971332615372	0.00828983415880744
O00116	AGPS	0.00687266918706401	3947.1493733724	953.026641845703	2.0487096565332	0.00830745819703701
Q5BJD5	TMEM41B	0.00693493437857872	3824.14697265625	730.965265909831	2.385290876429	0.00837908557238253
P61158	ACTR3	0.00717561815078793	12122.6214192708	5922.39770507813	1.03320484470334	0.00866613033388741
P67870	CSNK2B	0.00718712287378304	6992.43880208333	3928.64192708333	0.831397863617983	0.00867626233354389
P43155	CRAT	0.00720301435987473	9491.23474121094	945.163411458333	3.32643450626919	0.00869167893945023
Q93050	ATP6V0A1	0.00721303207031057	2180.74432373047	239.522705078125	3.18057564012912	0.00869999753824813
P68431;Q16695;Q71DI3	H3C1;H3-4;H3C15	0.00745406207064362	6790.71150716146	120.513112386068	5.80437883551312	0.00898682375183657
Q9H019	MTFR1L	0.00758422149658682	5259.60628255208	3588.09322102865	0.551335412617488	0.00913979094244669
P15954	COX7C	0.00768600528100768	3272.31693522135	420.936696370443	2.95521401390819	0.00925844494273632
Q9BSV6	TSEN34	0.00769597395020461	6134.39310709635	62.1751861572266	6.60141880047094	0.00926644507190655
Q9UBD5	ORC3	0.00785563782241442	19308.7690429688	1000.35101318359	4.26923650400492	0.00945460299715823
P62424	RPL7A	0.00793306461216979	91653.1796875	63608.4459635417	0.526943911738355	0.00954366520297748
Q9UKV3	ACIN1	0.00805547203145867	23320.2584635417	6428.53948974609	1.858796463762	0.00968673989965993
Q8TCY9	URGCP	0.00834872519695902	66754.3802083333	45253.9563802083	0.560786698288418	0.0100350451763189
Q567V2	MPV17L2	0.00847762163990518	2936.18590291341	134.955210367839	4.43273996688003	0.0101855807882381
P30050	RPL12	0.00866239064326897	64533.2408854167	37096.8216145833	0.798708005800389	0.0104030866500664
Q8IVT2	MISP	0.00885172586088829	9021.90006510417	6273.70125325521	0.523884533425227	0.0106242361463381
Q9Y312	AAR2	0.00885416592303437	5119.02026367188	1026.41691080729	2.31684599217119	0.0106242361463381
P04406	GAPDH	0.00896839314012516	209798.953125	25082.4676106771	3.06419876968485	0.010756664468238
Q8N3X1	FNBP4	0.0091254933979898	8871.57983398438	3761.57847086589	1.23746936931041	0.0109403784388298
